,property_type,society,sector,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,Wardrobe,furnishing_type,luxury_score
3497,flat,m3m woodshire,sector 107,0.94,6881.0,1366.0,2.0,2.0,3+,1.0,East,Moderately Old,1366.0,,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,113.0
3498,flat,tulip violet,sector 69,1.7,10773.0,1578.0,3.0,3.0,2,0.0,South-East,Relatively New,1578.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0
3499,flat,m3m skywalk,sector 74,2.7,13380.0,2018.0,3.0,3.0,3,13.0,Na,New Property,2018.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92.0
3500,flat,shree vardhman victoria,sector 70,1.65,8462.0,1950.0,3.0,4.0,3,5.0,South-East,Relatively New,1950.0,,1161.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,49.0
3501,house,independent,sector 25,10.0,37037.0,2700.0,5.0,6.0,3,3.0,North,Old Property,2700.0,,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,64.0
3502,house,independent,sector 25,8.0,8000.0,10000.0,3.0,9.0,2,3.0,,New Property,,,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3503,flat,viridian the plaza 106,sector 106,0.39,5571.0,700.0,1.0,1.0,1,7.0,East,Relatively New,700.0,,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0
3504,flat,unitech sunbreeze,sector 69,0.74,5502.0,1345.0,3.0,3.0,1,10.0,Na,Under Construction,1337.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0
3505,flat,uphar lakshya homes,sector 105,0.42,4200.0,1000.0,3.0,2.0,1,1.0,East,Relatively New,,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
3506,flat,dlf the ultima,sector 81,2.4,11412.0,2103.0,3.0,4.0,3+,19.0,North-West,Relatively New,2103.0,,,0.0,1.0,0.0,0.0,0.0,1.0,2.0,174.0
3507,house,independent,sector 46,2.2,24202.0,909.0,3.0,3.0,2,3.0,North-West,Old Property,909.0,,,0.0,0.0,1.0,0.0,0.0,3.0,1.0,56.0
3508,flat,signature global park,sohna road,0.67,5537.0,1210.0,2.0,2.0,3,4.0,North-East,Relatively New,1210.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,127.0
3509,flat,ss the leaf,sector 85,1.99,8660.0,2298.0,3.0,4.0,3+,17.0,East,Relatively New,2408.0,2398.0,2298.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,174.0
3510,flat,emaar gurgaon greens,sector 102,1.35,10800.0,1250.0,3.0,4.0,3+,9.0,North-East,Relatively New,1650.0,1400.0,1250.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,174.0
3511,house,independent,sector 24,11.0,28902.0,3806.0,8.0,11.0,3+,3.0,East,Old Property,,5000.0,,1.0,1.0,0.0,1.0,1.0,8.0,1.0,39.0
3512,flat,godrej frontier,sector 80,1.6,6999.0,2286.0,3.0,3.0,3,5.0,Na,Moderately Old,2262.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0
3513,flat,jmd gardens,sector 33,3.25,7509.0,4328.0,4.0,4.0,3+,17.0,South-East,Old Property,,,4328.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,130.0
3514,house,independent,sector 24,3.25,30374.0,1070.0,4.0,4.0,3,3.0,,Old Property,1070.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3515,flat,conscient heritage max,sector 102,1.82,9372.0,1942.0,3.0,4.0,3+,15.0,East,Moderately Old,1942.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,125.0
3516,flat,dlf new town heights,sector 90,1.65,5684.0,2903.0,4.0,4.0,3+,7.0,South,Moderately Old,2727.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
3517,house,ss omnia,sector 86,0.42,9333.0,450.0,5.0,3.0,2,3.0,,Relatively New,50.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3518,flat,signature global city 92,sector 92,0.78,7723.0,1010.0,2.0,2.0,3,2.0,Na,Under Construction,1010.0,,700.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0
3519,flat,emaar mgf the palm drive,sector 66,2.8,16471.0,1700.0,3.0,4.0,3,8.0,North-East,Relatively New,1950.0,1920.0,1700.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,117.0
3520,flat,breez global hill view,sohna road,0.3,5128.0,585.0,2.0,2.0,1,11.0,North,New Property,,,585.448521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
3521,flat,emaar mgf emerald floors premier,sector 65,2.79,14127.0,1975.0,4.0,4.0,3+,2.0,South-West,Relatively New,,,1975.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,174.0
3522,flat,umang monsoon breeze,sector 78,0.8,4837.0,1654.0,3.0,2.0,2,7.0,South,Moderately Old,1654.0,1472.0,1310.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,102.0
3523,flat,orchid petals,sector 49,2.38,11498.0,2070.0,3.0,4.0,3,1.0,West,Relatively New,2070.0,2061.0,1750.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,49.0
3524,flat,ramprastha the atrium,sector 37d,1.0,7782.0,1285.0,3.0,3.0,2,4.0,Na,Relatively New,1285.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0
3525,flat,parsvnath exotica,sector 53,6.44,19003.0,3389.0,4.0,4.0,3,7.0,West,Moderately Old,3390.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,80.0
